vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;
BMW X5;90.590 km;abr-10;173 kW (235 CV);Automático;Diésel;8,2;ES;-/- ;€ 19.700;;
BMW 123;160.000 km;jun-10;150 kW (204 CV);Automático;Diésel;5,6;Unknown;148;€ 12.000;;
BMW Z4;158.000 km;feb-10;150 kW (204 CV);Automático;Gasolina;8,2;Unknown;192;€ 16.750;;
BMW 528;95.848 km;jul-10;190 kW (258 CV);Automático;Gasolina;7,6;ES;-/- ;€ 16.400;;
BMW 320;59.600 km;jun-10;125 kW (170 CV);Automático;Gasolina;7,3;ES;-/- ;€ 18.500;;
BMW 116;136.972 km;jun-10;85 kW (116 CV);Manual;Diésel;-/- ;ES;-/- ;€ 7.909;;
BMW 116;123.000 km;nov-10;90 kW (122 CV);Manual;Gasolina;5,8;Unknown;143;€ 7.800;;
BMW 528;95.848 km;jul-10;190 kW (258 CV);Automático;Gasolina;7,6;ES;-/- ;€ 16.400;;
BMW 535;174.000 km;sep-10;220 kW (299 CV);Automático;Diésel;7,1;Unknown;187;€ 21.490;;
BMW 320;106.000 km;sep-10;130 kW (177 CV);Manual;Diésel;5,3;ES;-/- ;€ 14.990;;
BMW 325;240.000 km;dic-10;150 kW (204 CV);Automático;Diésel;6,1;Unknown;160;€ 11.490;;
BMW 118;117.455 km;oct-10;105 kW (143 CV);Manual;Gasolina;6,3;ES;-/- ;€ 10.900;;
BMW 320;185.000 km;jun-10;135 kW (184 CV);Automático;Diésel;5,3;ES;-/- ;€ 11.999;;
BMW 320;240.000 km;jul-10;135 kW (184 CV);Manual;Diésel;4,8;Unknown;128;€ 8.500;;
BMW 118;61.545 km;may-10;105 kW (143 CV);Manual;Gasolina;6,3;ES;152;€ 14.990;;
BMW 118;139.000 km;dic-10;105 kW (143 CV);Automático;Diésel;5,4;Unknown;140;€ 9.990;;
BMW 118;117.455 km;oct-10;105 kW (143 CV);Manual;Gasolina;6,3;ES;-/- ;€ 10.900;;
BMW 118;117.455 km;oct-10;105 kW (143 CV);Manual;Gasolina;6,3;ES;-/- ;€ 10.900;;
BMW 116;185.000 km;nov-10;85 kW (116 CV);Manual;Diésel;4,4;Unknown;118;€ 5.800;;
