vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;;
BMW Active Hybrid X6;152.571 km;mar-11;357 kW (485 CV);Automático;Electro/Gasolina;9,9;ES;-/- ;€ 29.500;;;
BMW 116;141.418 km;jun-11;85 kW (116 CV);Manual;Diésel;-/- ;ES;-/- ;€ 8.636;;;
BMW 330;311.000 km;dic-11;180 kW (245 CV);Automático;Diésel;6,4;Unknown;170;€ 16.000;;;
BMW 525;242.000 km;nov-11;150 kW (204 CV);Automático;Diésel;6,2;Unknown;162;€ 13.500;;;
BMW 520;224.000 km;ene-11;135 kW (184 CV);Manual;Diésel;4,8;ES;-/- ;€ 12.700;;;
BMW Active Hybrid X6;152.571 km;mar-11;357 kW (485 CV);Automático;Electro/Gasolina;9,9;ES;-/- ;€ 29.500;;;
BMW 535;176.127 km;sep-11;225 kW (306 CV);Automático;Gasolina;8,1;ES;-/- ;€ 17.499;;;
BMW X3;135.670 km;mar-11;135 kW (184 CV);Manual;Diésel;5,6;Unknown;149;€ 8.900;;;
BMW 740;73.170 km;dic-11;240 kW (326 CV);Automático;Gasolina;9,9;Unknown;232;€ 18.800;;;
BMW X3;144.000 km;may-11;135 kW (184 CV);Automático;Diésel;5,6;ES;-/- ;€ 13.490;;;
BMW 530;161.230 km;jul-11;190 kW (258 CV);Automático;Diésel;5,3;ES;-/- ;€ 20.490;;;
BMW 520;184.000 km;may-11;135 kW (184 CV);Manual;Diésel;4,8;Unknown;125;€ 13.500;;;
BMW X1;180.000 km;ene-11;105 kW (143 CV);Manual;Diésel;5,2;ES;-/- ;€ 11.900;;;
BMW;189.000 km;ene-11;105 kW (143 CV);Manual;Diésel;4,5;ES;-/- ;€ 10.900;;;
BMW X1;109.000 km;abr-11;130 kW (177 CV);Manual;Diésel;5,3;ES;-/- ;€ 15.990;;;
BMW 320;111.785 km;jun-11;130 kW (177 CV);Automático;Diésel;5,5;ES;-/- ;€ 13.400;;;
BMW 118;157.000 km;may-11;105 kW (143 CV);Manual;Diésel;4,4;ES;-/- ;€ 11.900;;;
BMW Z4;120.000 km;ene-11;150 kW (204 CV);Automático;Gasolina;8,2;Unknown;192;€ 23.000;;;
BMW Active Hybrid X6;152.571 km;mar-11;357 kW (485 CV);Automático;Electro/Gasolina;9,9;ES;-/- ;€ 29.500;;;
BMW M3;150.000 km;may-11;309 kW (420 CV);Automático;Gasolina;11,5;ES;-/- ;€ 29.900;;;
BMW X1;179.000 km;ene-11;105 kW (143 CV);Manual;Diésel;5,2;ES;-/- ;€ 11.450;;;
BMW X3;140.000 km;feb-11;130 kW (177 CV);Automático;Diésel;6,7;Unknown;178;€ 10.990;;;
BMW 520;166.000 km;feb-11;135 kW (184 CV);Manual;Diésel;4,8;Unknown;125;€ 13.500;;;
BMW 318;166.000 km;nov-11;105 kW (143 CV);Manual;Diésel;5,3;Unknown;140;€ 12.400;;;
BMW 318;82.000 km;ago-11;105 kW (143 CV);Manual;Diésel;5,3;Unknown;140;€ 11.900;;;
BMW X6;175.000 km;may-11;210 kW (286 CV);Automático;Diésel;8,3;ES;-/- ;€ 23.990;;;
BMW 116;168.000 km;jun-11;85 kW (116 CV);Manual;Diésel;4,4;ES;-/- ;€ 7.990;;;
BMW 535;174.000 km;nov-11;230 kW (313 CV);Automático;Diésel;5,4;Unknown;142;€ 20.800;;;
BMW 318;107.000 km;mar-11;105 kW (143 CV);Manual;Diésel;4,5;Unknown;119;€ 11.500;;;
BMW 116;134.000 km;jun-11;85 kW (116 CV);Manual;Diésel;4,3;ES;-/- ;€ 10.500;;;
BMW 750;135.000 km;ene-11;300 kW (408 CV);Automático;Gasolina;11,9;Unknown;278;€ 19.500;;;
BMW X3;100.000 km;ago-11;135 kW (184 CV);Automático;Diésel;5,6;Unknown;147;€ 12.665;;;
BMW 318;211.500 km;mar-11;105 kW (143 CV);Automático;Diésel;5,4;ES;-/- ;€ 7.650;;;
BMW 520;183.000 km;oct-11;135 kW (184 CV);Automático;Diésel;4,9;Unknown;129;€ 12.500;;;
BMW X3;110.000 km;may-11;225 kW (306 CV);Automático;Gasolina;8,8;Unknown;204;€ 26.000;;;
BMW X5;258.000 km;jun-11;180 kW (245 CV);Automático;Diésel;7,4;Unknown;195;€ 15.000;;;
BMW 116;114.000 km;jul-11;85 kW (116 CV);Manual;Diésel;4,4;ES;-/- ;€ 9.999;;;
BMW X1;129.000 km;ago-11;105 kW (143 CV);Automático;Diésel;5,9;Unknown;155;€ 10.900;;;
BMW 330;342.563 km;sep-11;1 kW (1 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 9.167;;;
BMW X3;120.000 km;oct-11;135 kW (184 CV);Automático;Diésel;5,6;ES;-/- ;€ 16.490;;;
BMW 320;170.000 km;dic-11;120 kW (163 CV);Manual;Diésel;4,3;Unknown;114;€ 11.500;;;
BMW Z4;46.000 km;feb-11;150 kW (204 CV);Manual;Gasolina;8,5;ES;-/- ;€ 21.995;;;
BMW 740;341.889 km;ene-11;225 kW (306 CV);Automático;Diésel;7 l/;ES;-/- ;€ 20.990;;;
