vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;
Audi A5;201.000 km;may-11;125 kW (170 CV);Manual;Diésel;5,2;Unknown;137;€ 10.990;
Audi Q5;195.000 km;may-11;125 kW (170 CV);Automático;Diésel;6,8;Unknown;179;€ 13.000;
Audi A3;74.306 km;mar-10;103 kW (140 CV);Manual;Diésel;4,4;ES;-/- ;€ 11.800;
Audi A7;56.376 km;ene-12;150 kW (204 CV);Automático;Gasolina;8 l/;ES;-/- ;€ 23.800;
Audi A1;45.000 km;jun-12;90 kW (122 CV);Manual;Gasolina;5,4;Unknown;126;€ 11.500;
Audi Q3;16.200 km;mar-12;103 kW (140 CV);Manual;Diésel;5,2;Unknown;137;€ 14.600;
Audi A4;66.892 km;dic-11;132 kW (179 CV);Manual;Gasolina;6,4;FR;149;€ 15.900;
Audi A3;78.533 km;ene-11;103 kW (140 CV);Automático;Diésel;4,9;FR;129;€ 14.900;
Audi Q5;117.290 km;sep-10;125 kW (170 CV);Manual;Diésel;6,7;FR;163;€ 16.900;
Audi Q5;205.846 km;sep-10;125 kW (170 CV);Manual;Diésel;7 l/;FR;175;€ 13.400;
Audi A1;70.000 km;jun-11;63 kW (86 CV);Manual;Gasolina;5,1;Unknown;118;€ 8.400;
Audi A6;233.000 km;abr-10;120 kW (163 CV);Automático;Diésel;7,1;Unknown;189;€ 7.200;
Audi A4;76.183 km;feb-10;105 kW (143 CV);Manual;Diésel;5,1;ES;-/- ;€ 12.450;
Audi A3;81.620 km;abr-11;92 kW (125 CV);Manual;Gasolina;5,8;ES;-/- ;€ 11.900;
Audi Q3;86.749 km;jul-12;130 kW (177 CV);Automático;Diésel;5,9;ES;-/- ;€ 17.950;
Audi A4;144.027 km;may-12;105 kW (143 CV);Automático;Diésel;4,7;ES;-/- ;€ 11.900;
Audi A4;144.027 km;may-12;105 kW (143 CV);Automático;Diésel;4,7;ES;-/- ;€ 11.900;
Audi A6;114.331 km;jun-11;150 kW (204 CV);Automático;Gasolina;7,4;ES;-/- ;€ 17.600;
Audi A6;114.331 km;jun-11;150 kW (204 CV);Automático;Gasolina;7,4;ES;-/- ;€ 17.600;
Audi S5;160.883 km;abr-10;260 kW (354 CV);Automático;Gasolina;10,7;Unknown;249;€ 13.000;
Audi TT;177.000 km;dic-10;125 kW (170 CV);Manual;Diésel;5,3;Unknown;139;€ 17.000;
Audi A6;176.000 km;mar-10;176 kW (239 CV);Automático;Diésel;7,1;Unknown;189;€ 10.597;
Audi A1;145.000 km;oct-12;66 kW (90 CV);Semiautomático;Diésel;4,2;Unknown;110;€ 12.000;
Audi A4;90.000 km;mar-12;140 kW (190 CV);Automático;Diésel;6,5;Unknown;169;€ 13.700;
Audi A1;115.146 km;may-12;66 kW (90 CV);Manual;Diésel;3,8;Unknown;99 g;€ 8.700;
Audi A4;124.375 km;ago-10;118 kW (160 CV);Manual;Gasolina;7,1;ES;-/- ;€ 10.300;
Audi Q5;143.305 km;dic-10;125 kW (170 CV);Automático;Diésel;6,8;ES;-/- ;€ 14.900;
Audi A6;137.781 km;sep-10;140 kW (190 CV);Manual;Gasolina;8,7;ES;-/- ;€ 12.800;
Audi A4;144.027 km;may-12;105 kW (143 CV);Automático;Diésel;4,7;ES;-/- ;€ 11.900;
Audi A6;114.331 km;jun-11;150 kW (204 CV);Automático;Gasolina;7,4;ES;-/- ;€ 17.600;
Audi R8;49.082 km;feb-10;309 kW (420 CV);Automático;Gasolina;13,6;ES;-/- ;€ 49.500;
Audi A3;257.000 km;sep-10;77 kW (105 CV);Manual;Diésel;-/- ;Unknown;-/- ;€ 5.450;
Audi A5;120.300 km;mar-12;125 kW (170 CV);Manual;Gasolina;5,8;Unknown;136;€ 15.490;
Audi Q7;225.640 km;may-11;177 kW (241 CV);Automático;Diésel;7,4;NL;195;€ 20.950;
Audi A1;87.000 km;nov-10;63 kW (86 CV);Manual;Gasolina;5,1;Unknown;118;€ 8.500;
Audi A4;198.000 km;nov-10;88 kW (120 CV);Manual;Diésel;5,1;Unknown;134;€ 6.999;
Audi A4;172.358 km;may-11;105 kW (143 CV);Manual;Diésel;5,3;Unknown;139;€ 10.500;
Audi A5;134.684 km;mar-12;125 kW (170 CV);Manual;Gasolina;5,8;Unknown;136;€ 13.500;
Audi A4;124.375 km;ago-10;118 kW (160 CV);Manual;Gasolina;7,1;ES;-/- ;€ 10.300;
Audi Q5;143.305 km;dic-10;125 kW (170 CV);Automático;Diésel;6,8;ES;-/- ;€ 14.900;
